"","PROBEID","logFC","AveExpr","t","P.Value","adj.P.Val","B","COMMON","SGD","GENENAME"
"13","1772554_at",7.80824059939928,8.85468297827871,56.6303476322319,3.23621970687285e-09,3.53654089567065e-05,7.30103049067328,"GAL10","S000000223","GAL10"
"14","1772554_at",7.80824059939928,8.85468297827871,56.6303476322319,3.23621970687285e-09,3.53654089567065e-05,7.30103049067328,"bifunctional UDP-glucose 4-epimerase/aldose 1-epimerase","S000000223","GAL10"
"19","1773096_at",7.66072470069364,9.67438825080613,47.1390113260511,9.41088813034402e-09,5.14210927441997e-05,7.14185060951989,"GAL2","S000004071","GAL2"
"20","1773096_at",7.66072470069364,9.67438825080613,47.1390113260511,9.41088813034402e-09,5.14210927441997e-05,7.14185060951989,"galactose permease GAL2","S000004071","GAL2"
"38","1775628_at",7.84331138149796,10.0284806753765,42.7821053498717,1.65412422440821e-08,6.02542317477763e-05,7.03528003540838,"GAL7","S000000222","GAL7"
"39","1775628_at",7.84331138149796,10.0284806753765,42.7821053498717,1.65412422440821e-08,6.02542317477763e-05,7.03528003540838,"UDP-glucose:hexose-1-phosphate uridylyltransferase","S000000222","GAL7"
"58","1779098_at",5.91920898233678,10.512845469032,39.9746244231554,2.4542456764472e-08,6.70499918805376e-05,6.94991730178583,"GAL1","S000000224","GAL1"
"59","1779098_at",5.91920898233678,10.512845469032,39.9746244231554,2.4542456764472e-08,6.70499918805376e-05,6.94991730178583,"galactokinase","S000000224","GAL1"
"60","1779904_at",2.93503850060244,6.44905700291651,18.8569816726513,1.89856172825486e-06,0.00414949651327382,5.19728930486145,"YHK8","S000001090","YHK8"
"21","1773278_at",2.0845194372312,11.2124420865216,15.9128788293133,5.02413480790494e-06,0.0078433921686836,4.56109309487226,"ARN1","S000001032","ARN1"
"22","1773278_at",2.0845194372312,11.2124420865216,15.9128788293133,5.02413480790494e-06,0.0078433921686836,4.56109309487226,"siderophore transporter","S000001032","ARN1"
"63","1780188_at",2.5866642469539,11.6373364528142,16.308687266733,4.36561314993839e-06,0.0078433921686836,4.65863287879108,"FLR1","S000000212","FLR1"
"29","1774511_at",2.33522007058116,6.35520334084111,14.6824304078993,7.95234264883013e-06,0.00965591116293508,4.22928870285206,"AAD4","S000002402","AAD4"
"30","1774511_at",2.33522007058116,6.35520334084111,14.6824304078993,7.95234264883013e-06,0.00965591116293508,4.22928870285206,"putative aryl-alcohol dehydrogenase","S000002402","AAD4"
"50","1777376_at",3.20197244539773,9.73488531126763,14.6951968285551,7.91306983575878e-06,0.00965591116293508,4.23297016100137,"PTR2","S000001801","PTR2"
"64","1780248_at",-2.8325922282243,9.43922230995975,-14.1160528037719,9.94767901337289e-06,0.0108708236258139,4.06049054809689,"AQY1","S000006396","AQY1"
"45","1776829_at",1.86679053053265,11.8591052145492,13.4201640755933,1.32552405459223e-05,0.0131684789714399,3.83753060608779,"HBN1","S000007548","HBN1"
"46","1776829_at",1.86679053053265,11.8591052145492,13.4201640755933,1.32552405459223e-05,0.0131684789714399,3.83753060608779,"YCL027C-A","S000007548","HBN1"
"47","1776829_at",1.86679053053265,11.8591052145492,13.4201640755933,1.32552405459223e-05,0.0131684789714399,3.83753060608779,"putative nitroreductase","S000007548","HBN1"
"10","1771716_s_at",2.5472334147354,11.9667882719173,13.1705230592203,1.4743678145724e-05,0.0134265762313726,3.75305444979806,"AAD4","S000002402","AAD4"
"11","1771716_s_at",2.5472334147354,11.9667882719173,13.1705230592203,1.4743678145724e-05,0.0134265762313726,3.75305444979806,"putative aryl-alcohol dehydrogenase","S000002402","AAD4"
"12","1772365_at",2.31159565681707,10.3370023118508,12.5949145894311,1.89845779992803e-05,0.0141693788171265,3.54854633551033,NA,"S000004098",NA
"16","1772992_s_at",1.76003192057876,10.0575166195647,12.5411220922786,1.94491839546941e-05,0.0141693788171265,3.5287106890046,NA,"S000006199",NA
"35","1775386_at",2.22866425304452,10.4250504268231,12.6275010330594,1.87094248004211e-05,0.0141693788171265,3.56050060141656,"ATR1","S000004584","ATR1"
"36","1775386_at",2.22866425304452,10.4250504268231,12.6275010330594,1.87094248004211e-05,0.0141693788171265,3.56050060141656,"SNQ1","S000004584","ATR1"
"37","1775386_at",2.22866425304452,10.4250504268231,12.6275010330594,1.87094248004211e-05,0.0141693788171265,3.56050060141656,"borate transporter","S000004584","ATR1"
"8","1771117_at",1.81118632783064,10.1338916343954,12.1566441800951,2.31848777830058e-05,0.0158352715257929,3.38315057227565,"SNG1","S000003429","SNG1"
"52","1778677_at",1.68212403725921,9.7587999228669,11.976943671439,2.52141734877444e-05,0.0162082639925924,3.3127679490396,"GAL3","S000002416","GAL3"
"53","1778677_at",1.68212403725921,9.7587999228669,11.976943671439,2.52141734877444e-05,0.0162082639925924,3.3127679490396,"transcriptional regulator GAL3","S000002416","GAL3"
"17","1773089_at",1.46280486422166,10.2281599703485,11.8371126850002,2.69373079496388e-05,0.0163539389596474,3.25692826494245,"FET3","S000004662","FET3"
"18","1773089_at",1.46280486422166,10.2281599703485,11.8371126850002,2.69373079496388e-05,0.0163539389596474,3.25692826494245,"ferroxidase FET3","S000004662","FET3"
"31","1775137_s_at",1.51362148326461,9.42460166207029,11.6892112774126,2.89111987608491e-05,0.0166285042136084,3.19681970645114,NA,"S000006198",NA
"9","1771416_at",1.68665996106692,8.85471506170366,11.3940178760853,3.33777550987547e-05,0.0182376053859595,3.07353798613505,NA,"S000005916",NA
